Customer;ST;GENDER;Education;Customer Lifetime Value;Income;Monthly Premium Auto;Number of Open Complaints;Policy Type;Vehicle Class;Total Claim Amount
ZW25874;Oregon;Male;Bachelor;252155.57%; 53.703,00   ; 670.000.000.000   ;01/02/2000;Special Auto;Four-Door Car; 67.632.476   
EH41854;Washington;Female;High School or Below;2370611.34%; -     ; 960.000.000.000   ;01/01/2000;Personal Auto;Two-Door Car; 844.481.918   
MW70227;California;Male;College;604702.52%; 20.396,00   ; 760.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 364.8 
SL22297;California;Female;Master;1114030.25%; 27.679,00   ; 1.500.000.000.000   ;1/0/00;Personal Auto;SUV; 722.486.994   
RV14138;Nevada;Female;Bachelor;433406.41%; 23.904,00   ; 1.230.000.000.000   ;01/03/2000;Personal Auto;SUV; 590.4 
UO62808;Arizona;Female;High School or Below;279974.79%; 65.351,00   ; 690.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 481.027.516   
ZX64745;California;Male;College;792313.66%; -     ; 1.130.000.000.000   ;1/0/00;Personal Auto;SUV; 1.124.427.734   
FL34139;California;Male;High School or Below;368811.09%; -     ; 630.000.000.000   ;01/03/2000;Personal Auto;Four-Door Car; 669.682.001   
TS11219;California;Male;College;1206745.60%; -     ; 1.160.000.000.000   ;1/0/00;Personal Auto;SUV; 1.284.093.173   
XX12304;California;Female;College;292497.67%; 64.459,00   ; 720.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 240.259.479   
SD64087;California;Male;College;1501409.27%; 32.961,00   ; 1.900.000.000.000   ;1/0/00;Corporate Auto;SUV; 912   
OY38576;Oregon;Female;High School or Below;927723.38%; 71.416,00   ; 1.160.000.000.000   ;1/0/00;Corporate Auto;SUV; 556.8 
BG76355;Washington;Female;Bachelor;627412.39%; 68.964,00   ; 780.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 115.086.827   
IP66913;California;Male;High School or Below;388664.74%; 78.108,00   ; 980.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 470.4 
LE95702;California;Male;College;438627.76%; 10.621,00   ; 670.000.000.000   ;1/0/00;Special Auto;Four-Door Car; 321.6 
KX54357;Washington;Male;College;1136526.77%; 84.910,00   ; 950.000.000.000   ;1/0/00;Corporate Auto;Two-Door Car; 383.167.471   
EZ78112;California;Female;High School or Below;561096.43%; 77.493,00   ; 700.000.000.000   ;1/0/00;Special Auto;Four-Door Car; 307.963.291   
XN16891;Arizona;Male;College;291289.20%; 81.097,00   ; 740.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 355.2 
XK31350;Oregon;Female;College;691572.99%; 96.610,00   ; 850.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 520.364.752   
CC30924;Oregon;Male;College;626266.33%; 30.110,00   ; 1.590.000.000.000   ;1/0/00;Corporate Auto;Sports Car; 466.436.375   
IT78748;Oregon;Female;High School or Below;650339.70%; 22.081,00   ; 840.000.000.000   ;1/0/00;Special Auto;Two-Door Car; 451.670.309   
KY33386;Washington;Female;High School or Below;800739.94%; -     ; 1.120.000.000.000   ;1/0/00;Personal Auto;Sports Car; 537.6 
CO44221;California;Male;College;292991.65%; 98.473,00   ; 720.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 345.6 
LK60013;Oregon;Female;Bachelor;596955.30%; 97.431,00   ; 740.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 355.2 
DE21533;California;Male;Bachelor;547315.99%; 93.870,00   ; 690.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 331.2 
YS94121;Nevada;Male;High School or Below;564539.67%; 50.366,00   ; 720.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 428.734.656   
UK68427;Washington;Male;High School or Below;636926.24%; 34.498,00   ; 830.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 398.4 
TE49565;Oregon;Female;College;1183376.73%; 16.552,00   ; 1.030.000.000.000   ;1/0/00;Personal Auto;SUV; 494.4 
RA88421;Oregon;Female;College;612110.79%; 26.787,00   ; 770.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 369.6 
KQ51983;Nevada;Male;College;515936.97%; -     ; 740.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 831.752.839   
CD88896;Nevada;Female;High School or Below;251459.20%; 43.860,00   ; 650.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 156.124.914   
YV22553;Arizona;Male;High School or Below;866861.13%; 21.474,00   ; 1.140.000.000.000   ;01/02/2000;Corporate Auto;SUV; 373.428.187   
WU14435;California;Male;Bachelor;496096.54%; 18.174,00   ; 660.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 395.934.815   
XV84099;Arizona;Female;Bachelor;550413.90%; -     ; 730.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 350.4 
RI24911;Arizona;Male;College;750745.54%; 60.920,00   ; 640.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 231.201.886   
KO26461;Arizona;Male;High School or Below;3226985.14%; 41.520,00   ; 900.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 289.904.105   
HI14283;Oregon;Female;Bachelor;565703.16%; -     ; 1.520.000.000.000   ;1/0/00;Personal Auto;SUV; 729.6 
PT50227;Arizona;Male;High School or Below;506175.79%; -     ; 680.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 326.4 
BH36570;California;Male;Bachelor;591278.38%; 72.208,00   ; 730.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 350.4 
TX17484;California;Female;Bachelor;1518227.98%; 53.863,00   ; 630.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 105.765.111   
CT41158;Washington;Male;College;1074703.09%; 66.446,00   ; 1.360.000.000.000   ;1/0/00;Corporate Auto;SUV; 639.464.548   
AO87348;Washington;Male;College;205062.35%; -     ; 610.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 292.8 
DE55857;Washington;Female;Bachelor;246544.49%; 64.997,00   ; 630.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 383.442.328   
LF66923;Nevada;Female;High School or Below;534312.13%; 64.460,00   ; 660.000.000.000   ;1/0/00;Corporate Auto;Two-Door Car; 316.8 
CN24514;Arizona;Female;College;811982.91%; 46.618,00   ; 670.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 99.085.943   
UW32074;Oregon;Female;College;460526.52%; -     ; 640.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 307.2 
HP36979;California;Male;College;640878.56%; 49.988,00   ; 840.000.000.000   ;01/05/2000;Personal Auto;Two-Door Car; 566.935.022   
PP40919;California;Female;College;237653.35%; -     ; 910.000.000.000   ;01/05/2000;Personal Auto;Two-Door Car; 436.8 
RO73268;California;Male;Bachelor;321107.00%; 16.269,00   ; 860.000.000.000   ;1/0/00;Corporate Auto;Two-Door Car; 412.8 
HO61691;Arizona;Female;Bachelor;509452.23%; 72.006,00   ; 640.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 307.2 
BS13062;Arizona;Female;High School or Below;2575527.82%; -     ; 810.000.000.000   ;01/02/2000;Personal Auto;Four-Door Car; 388.8 
FO35655;Oregon;Male;Bachelor;867222.97%; -     ; 2.450.000.000.000   ;1/0/00;Corporate Auto;Luxury SUV; 2.345.413.441   
HR10526;California;Male;Master;804473.07%; 44.320,00   ; 670.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 321.6 
IA63417;Arizona;Female;High School or Below;400151.91%; 19.782,00   ; 1.080.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 773.470.977   
BH35016;Nevada;Female;Bachelor;1670611.70%; 63.933,00   ; 700.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 424.883.448   
PK52952;Arizona;Male;Doctor;854441.11%; 28.224,00   ; 1.090.000.000.000   ;1/0/00;Personal Auto;SUV; 523.2 
OD76309;Washington;Female;College;780531.29%; 21.073,00   ; 1.060.000.000.000   ;01/01/2000;Personal Auto;SUV; 508.8 
IL28481;Oregon;Male;Bachelor;611275.69%; 63.243,00   ; 770.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 364.240.307   
GY55092;Nevada;Male;High School or Below;477294.38%; 20.993,00   ; 1.330.000.000.000   ;1/0/00;Personal Auto;SUV; 638.4 
UF33451;Oregon;Female;Bachelor;1097909.56%; 94.827,00   ; 1.350.000.000.000   ;1/0/00;Personal Auto;SUV; 354.729.129   
CF15558;California;Female;Master;500426.38%; 39.161,00   ; 630.000.000.000   ;01/01/2000;Personal Auto;Two-Door Car; 283.995.953   
JM62924;Washington;Male;Bachelor;1322304.38%; 37.534,00   ; 840.000.000.000   ;01/02/2000;Personal Auto;Four-Door Car; 403.2 
EM66435;Oregon;Female;Bachelor;262331.54%; 80.210,00   ; 650.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 20.543.176   
QX45933;California;Male;Bachelor;1784019.56%; -     ; 620.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 385.115.437   
JI71369;California;Female;College;510611.18%; 30.110,00   ; 640.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 140.165.035   
JU93290;Arizona;Female;College;1793060.45%; 21.708,00   ; 680.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 326.4 
GU66096;Arizona;Male;High School or Below;545734.26%; 94.731,00   ; 670.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 321.6 
UC33108;California;Male;Bachelor;656364.41%; 32.375,00   ; 830.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 398.4 
LW93867;Oregon;Male;College;481252.52%; 16.531,00   ; 630.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 102.879.769   
OU78470;Arizona;Female;Master;2932804.19%; 32.006,00   ; 940.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 56.868.289   
XW90265;Arizona;Female;Bachelor;577352.07%; 81.676,00   ; 720.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 463.158.502   
HS67749;California;Male;College;684711.89%; 71.038,00   ; 860.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 205.444.066   
VZ51506;Arizona;Female;High School or Below;359531.29%; -     ; 1.030.000.000.000   ;1/0/00;Corporate Auto;Sports Car; 741.6 
UI64281;Nevada;Female;Master;2285561.21%; 20.832,00   ; 650.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 56.371.967   
AE98193;Washington;Male;High School or Below;785941.46%; -     ; 1.130.000.000.000   ;1/0/00;Personal Auto;SUV; 813.6 
AZ74055;Oregon;Male;High School or Below;411557.74%; 52.405,00   ; 1.030.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 494.4 
XS76911;Arizona;Female;High School or Below;502963.88%; -     ; 1.330.000.000.000   ;1/0/00;Personal Auto;Sports Car; 795.864.079   
AY40674;Washington;Female;Bachelor;482141.85%; 26.583,00   ; 10.050.000.000.000   ;01/04/2000;Personal Auto;SUV; 614.4 
NA12740;Oregon;Male;Master;500431.05%; 25.486,00   ; 650.000.000.000   ;1/0/00;Special Auto;Two-Door Car; 72.438.681   
UA84837;Arizona;Male;College;863005.39%; 24.065,00   ; 1.110.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 532.8 
DJ51510;Arizona;Female;High School or Below;932208.51%; 70.435,00   ; 1.160.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 67.881.546   
VM58985;California;Male;College;1672756.06%; -     ; 760.000.000.000   ;01/02/2000;Personal Auto;Two-Door Car; 402.636.829   
OH60605;Oregon;Female;High School or Below;365253.24%; 39.679,00   ; 920.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 641.388.616   
UO98052;Nevada;Male;College;615860.12%; -     ; 890.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 342.481.173   
NC53424;California;Male;Bachelor;437608.40%; -     ; 690.000.000.000   ;01/04/2000;Personal Auto;Two-Door Car; 331.2 
LQ13873;Nevada;Male;High School or Below;556945.62%; 53.565,00   ; 710.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 340.8 
LA97014;Washington;Male;Bachelor;257651.30%; 37.574,00   ; 660.000.000.000   ;01/01/2000;Personal Auto;Two-Door Car; 412.101.933   
NB79936;Washington;Male;Bachelor;834698.32%; 48.259,00   ; 1.080.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 73.700.573   
NT89061;Arizona;Female;High School or Below;632392.39%; 78.532,00   ; 780.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 374.4 
AF10970;Arizona;Female;Bachelor;597314.34%; 96.163,00   ; 730.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 350.4 
ZG48513;California;Male;Bachelor;470667.70%; -     ; 720.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 345.6 
JQ59145;California;Male;High School or Below;809341.03%; -     ; 1.140.000.000.000   ;01/01/2000;Personal Auto;Sports Car; 722.024.742   
FE84989;Washington;Male;College;503574.46%; 72.672,00   ; 630.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 259.361.117   
JT52858;Oregon;Female;Bachelor;902786.72%; 99.002,00   ; 1.120.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 537.6 
MC62068;California;Male;High School or Below;728888.48%; 79.494,00   ; 910.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 396.295.614   
EU27538;Oregon;Male;Master;1804247.94%; 35.704,00   ; 2.250.000.000.000   ;1/0/00;Personal Auto;Luxury Car; 358.281.562   
RH42306;Arizona;Female;Bachelor;499206.30%; -     ; 710.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 653.388.564   
US23612;Oregon;Female;High School or Below;910226.78%; 26.049,00   ; 1.180.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 121.032.372   
WV76014;Arizona;Male;Doctor;254040.77%; 70.125,00   ; 640.000.000.000   ;1/0/00;Special Auto;Four-Door Car; 92.813.396   
RK96223;California;Male;College;1294189.19%; 52.369,00   ; 1.100.000.000.000   ;01/01/2000;Personal Auto;SUV; 528   
MF82000;Washington;Female;Bachelor;236534.86%; -     ; 660.000.000.000   ;01/02/2000;Special Auto;Four-Door Car; 159.636.956   
FM46980;Arizona;Male;College;572076.51%; 41.770,00   ; 720.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 476.156.957   
SY56792;Oregon;Male;High School or Below;703553.41%; -     ; 1.010.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 727.2 
RF61565;California;Male;College;263697.77%; 31.911,00   ; 670.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 321.6 
IM94808;Nevada;Male;Bachelor;539583.20%; 70.051,00   ; 680.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 42.078.345   
VI14730;Oregon;Male;High School or Below;838263.01%; 19.683,00   ; 1.170.000.000.000   ;01/01/2000;Personal Auto;Sports Car; 561.6 
YR34119;Washington;Female;College;3116174.52%; 30.916,00   ; 1.120.000.000.000   ;1/0/00;Personal Auto;SUV; 20.011.606   
RR77985;Oregon;Female;Bachelor;288774.23%; -     ; 800.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 676.944.023   
QD28391;Washington;Male;College;742584.53%; 84.302,00   ; 620.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 76.609.295   
WV17090;California;Male;Bachelor;2558572.78%; -     ; 1.160.000.000.000   ;1/0/00;Corporate Auto;SUV; 830.623.064   
TM23514;Oregon;Male;College;1027260.82%; 60.145,00   ; 1.320.000.000.000   ;1/0/00;Personal Auto;SUV; 580.473.259   
MQ68407;Oregon;Female;Bachelor;437636.36%; 63.774,00   ; 1.110.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 60.036.683   
GJ59592;California;Female;Bachelor;531889.66%; 25.134,00   ; 670.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 321.6 
FY56083;Oregon;Male;Bachelor;471976.22%; 37.057,00   ; 610.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 4.753.101   
UA94723;Oregon;Female;High School or Below;442803.16%; 58.577,00   ; 1.100.000.000.000   ;1/0/00;Personal Auto;SUV; 303.872.752   
FW91032;California;Male;High School or Below;587917.61%; 85.857,00   ; 730.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 100.620.067   
DE34457;Oregon;Female;Doctor;941690.85%; 70.602,00   ; 1.160.000.000.000   ;1/0/00;Personal Auto;SUV; 481.339.891   
HD32044;Oregon;Female;Master;828815.56%; 33.816,00   ; 1.060.000.000.000   ;01/02/2000;Corporate Auto;Four-Door Car; 508.8 
HH30454;Oregon;Male;Bachelor;3265483.83%; -     ; 1.530.000.000.000   ;1/0/00;Personal Auto;SUV; 1101.6 
AH84063;Oregon;Female;College;471945.01%; 89.642,00   ; 1.210.000.000.000   ;01/04/2000;Corporate Auto;SUV; 86.320.022   
QA17596;California;Female;Bachelor;390347.48%; 60.068,00   ; 980.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 470.4 
XI41052;California;Female;Bachelor;545725.97%; 50.044,00   ; 1.390.000.000.000   ;1/0/00;Personal Auto;SUV; 667.2 
DI30528;California;Female;Master;272535.64%; 36.650,00   ; 690.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 5.660.333   
SC66359;Arizona;Female;College;443397.37%; 50.653,00   ; 1.100.000.000.000   ;1/0/00;Corporate Auto;SUV; 262.865.172   
EN61670;Arizona;Female;Doctor;533246.27%; 68.931,00   ; 660.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 309.577.946   
DQ10761;Oregon;Male;Bachelor;231509.50%; -     ; 730.000.000.000   ;01/01/2000;Corporate Auto;Four-Door Car; 350.4 
BQ51587;California;Female;College;541195.37%; -     ; 730.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 365.364.581   
JE21522;California;Male;Bachelor;958733.23%; 39.266,00   ; 800.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 384   
WS47147;California;Male;College;2210350.72%; -     ; 1.020.000.000.000   ;1/0/00;Personal Auto;SUV; 489.6 
ZA64638;Nevada;Female;High School or Below;976494.53%; -     ; 980.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 705.6 
EW38459;Nevada;Female;Bachelor;256715.15%; 40.864,00   ; 650.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 951.528   
QW87316;Oregon;Female;College;265062.28%; 39.035,00   ; 680.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 244.564.334   
IC43478;California;Male;Bachelor;1126436.33%; 34.923,00   ; 980.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 639.105.556   
TE34064;California;Male;High School or Below;216852.35%; -     ; 630.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 453.6 
WU60905;California;Female;High School or Below;861066.75%; -     ; 1.110.000.000.000   ;1/0/00;Corporate Auto;SUV; 532.8 
YM18992;California;Female;College;283464.62%; 24.506,00   ; 710.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 511.2 
PD55753;Oregon;Male;High School or Below;893013.97%; -     ; 820.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 554.522.969   
KU56006;Arizona;Female;College;553638.70%; 52.220,00   ; 700.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 336   
MJ69973;Arizona;Male;High School or Below;284085.43%; -     ; 740.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 402.449.823   
TW43626;California;Male;College;808288.10%; 53.554,00   ; 670.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 327.020.539   
XX84133;California;Male;Bachelor;525473.43%; 34.476,00   ; 670.000.000.000   ;01/01/2000;Corporate Auto;Four-Door Car; 53.953   
ZW84453;Arizona;Female;Bachelor;511623.76%; -     ; 700.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 131.401.291   
HO29524;California;Male;College;303464.70%; 68.205,00   ; 760.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 99.382.943   
VE89726;California;Female;High School or Below;802489.99%; -     ; 1.190.000.000.000   ;01/01/2000;Personal Auto;SUV; 856.8 
GE87503;California;Male;High School or Below;1821114.32%; 53.690,00   ; 1.540.000.000.000   ;1/0/00;Personal Auto;SUV; 739.2 
PX90263;Oregon;Male;High School or Below;512156.33%; -     ; 720.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 518.4 
NI17718;California;Female;High School or Below;215017.86%; -     ; 610.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 292.8 
FY32213;California;Female;High School or Below;559538.99%; 74.454,00   ; 710.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 340.8 
RZ13254;Nevada;Female;Bachelor;756282.40%; -     ; 730.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 350.4 
GN45013;Oregon;Male;High School or Below;538585.32%; 29.664,00   ; 710.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 340.8 
NM39588;Washington;Female;Doctor;267805.83%; 72.450,00   ; 660.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 84.218.363   
KU84464;Nevada;Female;Bachelor;942256.79%; 47.272,00   ; 790.000.000.000   ;01/03/2000;Personal Auto;Four-Door Car; 64.546.877   
YH43527;Oregon;Female;College;360586.03%; 21.585,00   ; 920.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 441.6 
RO30676;California;Female;College;776259.06%; 23.827,00   ; 1.060.000.000.000   ;01/02/2000;Personal Auto;Four-Door Car; 37.910.623   
QL59704;Arizona;Female;College;2344490.05%; 69.906,00   ; 740.000.000.000   ;01/02/2000;Corporate Auto;Four-Door Car; 202.860.399   
QH19450;California;Female;High School or Below;255817.82%; -     ; 720.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 345.6 
SA54664;Washington;Male;Master;265438.10%; 73.196,00   ; 660.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 85.809.817   
CI38330;Washington;Male;Bachelor;254978.61%; 72.217,00   ; 64.640.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 91.146.661   
WB38524;California;Male;High School or Below;296959.33%; 46.131,00   ; 740.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 355.2 
CE56187;Oregon;Female;Master;436312.46%; 54.514,00   ; 1.090.000.000.000   ;01/03/2000;Personal Auto;SUV; 286.234.931   
JL19416;California;Female;High School or Below;588430.86%; -     ; 1.610.000.000.000   ;1/0/00;Personal Auto;SUV; 1159.2 
JZ61422;Nevada;Female;College;527219.16%; 96.668,00   ; 660.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 316.8 
LA13377;California;Male;Doctor;550989.57%; 78.879,00   ; 690.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 466.570.791   
NC99948;Nevada;Male;College;1631368.35%; -     ; 690.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 331.2 
QD34785;Arizona;Female;Bachelor;567805.02%; -     ; 760.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 364.8 
RO26085;California;Female;Bachelor;1210120.88%; -     ; 1.120.000.000.000   ;1/0/00;Personal Auto;Sports Car; 1.252.406.235   
ES57969;Oregon;Male;Bachelor;245357.08%; 29.735,00   ; 690.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 331.2 
JK55587;California;Male;High School or Below;507566.27%; 23.082,00   ; 650.000.000.000   ;1/0/00;Special Auto;Four-Door Car; 312   
RN97635;Arizona;Male;Bachelor;321497.94%; 53.984,00   ; 800.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 421.484.456   
BI76326;California;Female;College;1227534.31%; 52.135,00   ; 1.560.000.000.000   ;1/0/00;Personal Auto;SUV; 430.505.942   
JA34909;California;Female;College;272221.07%; 17.576,00   ; 710.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 398.502.948   
OJ90342;Oregon;Female;Bachelor;245744.09%; 29.486,00   ; 620.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 7.646.763   
CM88932;Oregon;Female;Master;355484.53%; 58.557,00   ; 880.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 55.510.526   
JJ97525;California;Male;Bachelor;492954.97%; 25.632,00   ; 630.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 351.270.869   
XV21647;California;Female;High School or Below;803645.03%; -     ; 1.120.000.000.000   ;1/0/00;Personal Auto;Sports Car; 806.4 
MC83487;Arizona;Male;Bachelor;427691.53%; 18.768,00   ; 680.000.000.000   ;01/03/2000;Corporate Auto;Four-Door Car; 647.454.583   
BL90769;California;Female;Bachelor;3347334.95%; 33.190,00   ; 1.060.000.000.000   ;1/0/00;Personal Auto;SUV; 508.8 
CR57148;Oregon;Female;Master;596058.14%; 47.945,00   ; 740.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 12.843.823   
CP85232;Arizona;Male;College;4479546.94%; 58.778,00   ; 1.260.000.000.000   ;1/0/00;Special Auto;SUV; 302.033.971   
YL74732;California;Female;High School or Below;383211.81%; 15.192,00   ; 1.000.000.000.000   ;1/0/00;Personal Auto;SUV; 480   
FG16766;California;Female;Bachelor;683793.26%; 51.859,00   ; 1.710.000.000.000   ;1/0/00;Personal Auto;SUV; 1.003.160.633   
NV55438;Nevada;Female;High School or Below;528526.82%; 23.422,00   ; 720.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 518.4 
RM10880;California;Female;College;309651.12%; 21.604,00   ; 790.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 379.2 
GL56175;Arizona;Male;College;358971.07%; 79.298,00   ; 900.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 244.362.072   
UK52289;Arizona;Female;Bachelor;258240.85%; 76.731,00   ; 640.000.000.000   ;1/0/00;Special Auto;Four-Door Car; 201.455.005   
OT85112;Washington;Male;College;340391.94%; 38.460,00   ; 880.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 9.155.098   
BC62782;Arizona;Female;College;1357567.60%; 48.534,00   ; 1.150.000.000.000   ;01/01/2000;Personal Auto;SUV; 552   
TI19722;Washington;Male;Doctor;343613.43%; 30.817,00   ; 880.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 91.834.668   
JP30654;Oregon;Female;College;2868582.79%; 48.412,00   ; 1.040.000.000.000   ;1/0/00;Personal Auto;SUV; 707.430.832   
UM45563;Washington;Male;Bachelor;450267.97%; 68.798,00   ; 1.140.000.000.000   ;1/0/00;Personal Auto;SUV; 92.915.251   
EN60878;Oregon;Male;Bachelor;618311.15%; 23.712,00   ; 850.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 376.126.419   
JF36291;California;Male;College;387364.70%; 28.142,00   ; 1.050.000.000.000   ;1/0/00;Personal Auto;Sports Car; 701.708.239   
BK59444;California;Female;Master;1892933.06%; 72.196,00   ; 680.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 152.184.244   
MK70700;California;Male;Master;555329.58%; 68.197,00   ; 690.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 176.819.414   
IW71076;California;Male;Bachelor;501125.92%; 75.248,00   ; 630.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 104.454.624   
AP98768;California;Female;College;1044244.63%; -     ; 980.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 941.718.054   
OM24164;Nevada;Male;Bachelor;219961.78%; -     ; 650.000.000.000   ;01/01/2000;Personal Auto;Two-Door Car; 468   
HR85211;Washington;Female;Master;512317.09%; 89.879,00   ; 630.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 94.030.308   
VC87846;Oregon;Male;High School or Below;748431.05%; 46.998,00   ; 960.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 460.8 
ZM92052;Oregon;Male;Bachelor;261302.31%; 57.099,00   ; 670.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 67.859.881   
